fecha,comunidad,region,categoria_sintoma,num_casos,es_brote_real
2025-11-01,Chenalhó,Altos,Dermatológico,0,0
2025-11-01,Chenalhó,Altos,Diabetes,0,0
2025-11-01,Chenalhó,Altos,Embarazo,0,0
2025-11-01,Chenalhó,Altos,Gastrointestinal,1,0
2025-11-01,Chenalhó,Altos,Hipertensión,1,0
2025-11-01,Chenalhó,Altos,Nutrición,1,0
2025-11-01,Chenalhó,Altos,Respiratorio,0,0
2025-11-01,Chenalhó,Altos,Traumatología,0,0
2025-11-01,Chenalhó,Altos,Vacunación,0,0
2025-11-01,Comitán de Domínguez,Altos,Dermatológico,0,0
2025-11-01,Comitán de Domínguez,Altos,Diabetes,0,0
2025-11-01,Comitán de Domínguez,Altos,Embarazo,0,0
2025-11-01,Comitán de Domínguez,Altos,Gastrointestinal,0,0
2025-11-01,Comitán de Domínguez,Altos,Hipertensión,1,0
2025-11-01,Comitán de Domínguez,Altos,Nutrición,0,0
2025-11-01,Comitán de Domínguez,Altos,Respiratorio,0,0
2025-11-01,Comitán de Domínguez,Altos,Traumatología,0,0
2025-11-01,Comitán de Domínguez,Altos,Vacunación,0,0
2025-11-01,Las Margaritas,Sierra,Dermatológico,0,0
2025-11-01,Las Margaritas,Sierra,Diabetes,1,0
2025-11-01,Las Margaritas,Sierra,Embarazo,0,0
2025-11-01,Las Margaritas,Sierra,Gastrointestinal,2,0
2025-11-01,Las Margaritas,Sierra,Hipertensión,0,0
2025-11-01,Las Margaritas,Sierra,Nutrición,0,0
2025-11-01,Las Margaritas,Sierra,Respiratorio,3,0
2025-11-01,Las Margaritas,Sierra,Traumatología,0,0
2025-11-01,Las Margaritas,Sierra,Vacunación,2,0
2025-11-01,Ocosingo,Selva,Dermatológico,0,0
2025-11-01,Ocosingo,Selva,Diabetes,0,0
2025-11-01,Ocosingo,Selva,Embarazo,0,0
2025-11-01,Ocosingo,Selva,Gastrointestinal,0,0
2025-11-01,Ocosingo,Selva,Hipertensión,0,0
2025-11-01,Ocosingo,Selva,Nutrición,0,0
2025-11-01,Ocosingo,Selva,Respiratorio,1,0
2025-11-01,Ocosingo,Selva,Traumatología,0,0
2025-11-01,Ocosingo,Selva,Vacunación,0,0
2025-11-01,Palenque,Selva,Dermatológico,0,0
2025-11-01,Palenque,Selva,Diabetes,0,0
2025-11-01,Palenque,Selva,Embarazo,0,0
2025-11-01,Palenque,Selva,Gastrointestinal,2,0
2025-11-01,Palenque,Selva,Hipertensión,0,0
2025-11-01,Palenque,Selva,Nutrición,0,0
2025-11-01,Palenque,Selva,Respiratorio,0,0
2025-11-01,Palenque,Selva,Traumatología,0,0
2025-11-01,Palenque,Selva,Vacunación,0,0
2025-11-01,San Cristóbal de las Casas,Altos,Dermatológico,0,0
2025-11-01,San Cristóbal de las Casas,Altos,Diabetes,0,0
2025-11-01,San Cristóbal de las Casas,Altos,Embarazo,0,0
